Driver,City,Distance_km_week,Efficiency_reported_km_per_l,Efficiency_applied_km_per_l,Fuel_L_derived,EF_kgCO2e_per_L,Base_kgCO2e,BF,Adjusted_kgCO2e,Status,Reason_Codes,GCaI_Version,Config_Hash_Full,Prev_Record_Hash,Record_Hash_Full
GHA_032,Kumasi Ghana 🇬🇭,700.0,0.0,15.0,46.67,2.31,107.8,0.0,107.8,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,a0c4bd032e4174278f5785602b6feb8e88f8e4705fa17b64f66ee23e11c800c2,b26ba8069887e75e028c67066bfe0a6e10d5b357169c9c230698cfa7e15bf971
GHA_033,Accra,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,b26ba8069887e75e028c67066bfe0a6e10d5b357169c9c230698cfa7e15bf971,576a51f8f1c664fd924aa6b8496bb793f2af666fc9783dd3fa4c48d20e2dd3e8
GHA_034,Ablekuma,700.0,0.0,15.0,46.67,2.31,107.8,0.0,107.8,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,576a51f8f1c664fd924aa6b8496bb793f2af666fc9783dd3fa4c48d20e2dd3e8,f5b890b9498b362aec5bf79414a247c8d4ba99bf770fd0fa90a0197cea5c5713
GHA_035,Accra - Botwe Lakeside,249.5,0.0,15.0,16.63,2.31,38.42,0.1,42.27,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,f5b890b9498b362aec5bf79414a247c8d4ba99bf770fd0fa90a0197cea5c5713,d7104b7ef64cffe7774453b9a242377b340137b9cc4fb7a1ab84466e080dafa7
GHA_036,Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.0,53.82,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,d7104b7ef64cffe7774453b9a242377b340137b9cc4fb7a1ab84466e080dafa7,b363fdaded661bd1cab63acdda0dc1765faf56a99124d06edb9e6c3a0736a427
GHA_037,Accra,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,b363fdaded661bd1cab63acdda0dc1765faf56a99124d06edb9e6c3a0736a427,6c5c98ec31f955c0ce0f38eeaa5f2c9501966398a5666bce56c78f02dbf6afda
GHA_038,Botwe - Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,6c5c98ec31f955c0ce0f38eeaa5f2c9501966398a5666bce56c78f02dbf6afda,fb6b7c9199f3dcb9769348cd46b368a9a2bdc8563218e7ec0a56aa0c8e2230cb
GHA_039,Lakeside - Botwe Comm8,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,fb6b7c9199f3dcb9769348cd46b368a9a2bdc8563218e7ec0a56aa0c8e2230cb,1d6958586382755ca70d92f79cabf9401260f7ae983d16f5cfa0984823708a3b
GHA_040,Botwe,449.5,0.0,15.0,29.97,2.31,69.22,0.1,76.15,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,1d6958586382755ca70d92f79cabf9401260f7ae983d16f5cfa0984823708a3b,577f5f8656f4c5dc03ff9572b7e9ac798de89632fddb2262e312563874525cc7
GHA_041,Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,577f5f8656f4c5dc03ff9572b7e9ac798de89632fddb2262e312563874525cc7,acb7493fae9de39a8f593d903501ccec5a3924a691ce240a581fdd37c4274bd9
GHA_042,Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,acb7493fae9de39a8f593d903501ccec5a3924a691ce240a581fdd37c4274bd9,78911cfe250b735c1dd76adced49b1c1e51e53282a73c6728001eea38dede5cd
GHA_043,Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,78911cfe250b735c1dd76adced49b1c1e51e53282a73c6728001eea38dede5cd,7f8a31b667ffa91c058cbec92c4f16f68606c821a6ba3c37e5f5110c08d34a76
GHA_044,Tema,599.5,0.0,15.0,39.97,2.31,92.32,0.0,92.32,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,7f8a31b667ffa91c058cbec92c4f16f68606c821a6ba3c37e5f5110c08d34a76,5d6f353baf30dc953ffe852b672f0202e1b4ee41ff58f929b4b2dafd9104041a
GHA_045,Accra,149.5,0.0,15.0,9.97,2.31,23.02,0.1,25.33,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,5d6f353baf30dc953ffe852b672f0202e1b4ee41ff58f929b4b2dafd9104041a,02787227ca6330241ab69561f2501ee13637577f09a5480961b9ee8a55b88aa1
GHA_046,Accra,700.0,0.0,15.0,46.67,2.31,107.8,0.1,118.58,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,02787227ca6330241ab69561f2501ee13637577f09a5480961b9ee8a55b88aa1,08fb8341c756e2ddc6e5c25af29e3d2e0cece51367f0ff4263fb46579c7638d0
GHA_047,Agbogba - Accra,599.5,0.0,15.0,39.97,2.31,92.32,0.1,101.56,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,08fb8341c756e2ddc6e5c25af29e3d2e0cece51367f0ff4263fb46579c7638d0,39fcfa7b45697fb2b8790644441048a1211ac418248d58211083ca29de672223
GHA_048,Agbogba - Accra,599.5,0.0,15.0,39.97,2.31,92.32,0.1,101.56,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,39fcfa7b45697fb2b8790644441048a1211ac418248d58211083ca29de672223,cd2afa6a366319851ec20d7649e2de11f34096818e5cffc91cd4fc87f22b02ad
GHA_049,Accra,700.0,0.0,15.0,46.67,2.31,107.8,0.1,118.58,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,cd2afa6a366319851ec20d7649e2de11f34096818e5cffc91cd4fc87f22b02ad,ea703c58cc44efe6fac69cc641010cf2ca5dea9e80f230fa5ea3c09183887a2e
GHA_050,East legon and Adenta,149.5,0.0,15.0,9.97,2.31,23.02,0.0,23.02,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,ea703c58cc44efe6fac69cc641010cf2ca5dea9e80f230fa5ea3c09183887a2e,c51bc35b73233f1dcdb23bfccf668038bb683feb55d12ac0bd629adbb27d7440
GHA_051,Accra,449.5,0.0,15.0,29.97,2.31,69.22,0.0,69.22,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,c51bc35b73233f1dcdb23bfccf668038bb683feb55d12ac0bd629adbb27d7440,1fd02f359a4d84eac616292368231cb821451dded93e35e6ab10d42d257d0816
GHA_052,Accra,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,1fd02f359a4d84eac616292368231cb821451dded93e35e6ab10d42d257d0816,345c67b30e21b1946ce53d88e46ba67d7ba0b708d84e8a9b4c6d31a1b08728b1
GHA_053,Accra,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,345c67b30e21b1946ce53d88e46ba67d7ba0b708d84e8a9b4c6d31a1b08728b1,309287c80e120dcd3129313fbee07dcfb56e37a8e0b4cd6efb1de066747b3069
GHA_054,Botwe - Accra,449.5,0.0,15.0,29.97,2.31,69.22,0.0,69.22,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,309287c80e120dcd3129313fbee07dcfb56e37a8e0b4cd6efb1de066747b3069,32bed53abf7a4bfbf7bc3646d74a842f7be177f4c3b9bc43b7b4e7c396f3e9c3
GHA_055,Accra,449.5,0.0,15.0,29.97,2.31,69.22,0.0,69.22,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,32bed53abf7a4bfbf7bc3646d74a842f7be177f4c3b9bc43b7b4e7c396f3e9c3,64516167e8c42704395e55b2606a5803494d353cd4f2271725eca84dea27637a
GHA_056,Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,64516167e8c42704395e55b2606a5803494d353cd4f2271725eca84dea27637a,a1b12b10a06e32686b59370baf3e7cf052a826c5c49d1014d55acb94c04ee32e
GHA_057,Ashale Botwe,449.5,0.0,15.0,29.97,2.31,69.22,0.1,76.15,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,a1b12b10a06e32686b59370baf3e7cf052a826c5c49d1014d55acb94c04ee32e,149eadf92d02890631957b356957bbad6d57c72ae4424937f8d19c0b5bc37fbd
GHA_058,Botwe,349.5,0.0,15.0,23.3,2.31,53.82,0.0,53.82,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,149eadf92d02890631957b356957bbad6d57c72ae4424937f8d19c0b5bc37fbd,dc3b81bde16d635916ee6f8cc2181f53b222e20be38ebe49fb479304f1e16ca1
GHA_059,Accra,249.5,0.0,15.0,16.63,2.31,38.42,0.0,38.42,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,dc3b81bde16d635916ee6f8cc2181f53b222e20be38ebe49fb479304f1e16ca1,d04e32157de5b6513f1420257bf1b9fab9d4bae65bc8378f852c5da01c325104
GHA_060,Adjiringanor Greater Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.15,61.9,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,d04e32157de5b6513f1420257bf1b9fab9d4bae65bc8378f852c5da01c325104,eddc2721f4c9d23c08cea2a342cc4d4c261c71d2df3c945b713a07005cff05a2
GHA_061,Accra - Lakeside,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,eddc2721f4c9d23c08cea2a342cc4d4c261c71d2df3c945b713a07005cff05a2,1c3b3096d0f5c91480d4ac0ecb097f9742b8bf69b37fefff198ff9d39b296cc2
GHA_062,Accra,449.5,0.0,15.0,29.97,2.31,69.22,0.1,76.15,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,1c3b3096d0f5c91480d4ac0ecb097f9742b8bf69b37fefff198ff9d39b296cc2,7f23af5bf941d918926a65a2b547f33eeff8c8ac5e9d728186c2d3ca457d4462
GHA_063,East Legon,449.5,0.0,15.0,29.97,2.31,69.22,0.1,76.15,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,7f23af5bf941d918926a65a2b547f33eeff8c8ac5e9d728186c2d3ca457d4462,159e52ff1527605d83ffd8a6f9f94c2fb8343ff50742fb1fa3a2f300ef321832
GHA_064,Nanakrom,599.5,0.0,15.0,39.97,2.31,92.32,0.1,101.56,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,159e52ff1527605d83ffd8a6f9f94c2fb8343ff50742fb1fa3a2f300ef321832,042d153c4107112b11092b879ecf2bb84002e0e2ff2b32e9bd508bf47de0512a
GHA_065,Accra,700.0,0.0,15.0,46.67,2.31,107.8,0.1,118.58,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,042d153c4107112b11092b879ecf2bb84002e0e2ff2b32e9bd508bf47de0512a,3d3ce1cecc5fe2420abcb63e11a3d6b47c5465afd8777c1ffd9ae2d53729c7dd
GHA_066,School Junction Botwe,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,3d3ce1cecc5fe2420abcb63e11a3d6b47c5465afd8777c1ffd9ae2d53729c7dd,b51d54940c8946803ff43e5988b592137fac75ee1b71325bc58e3f92b2172325
GHA_067,Lakeside,349.5,0.0,15.0,23.3,2.31,53.82,0.1,59.21,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,b51d54940c8946803ff43e5988b592137fac75ee1b71325bc58e3f92b2172325,3835c45f446f7e62f549a8d658b77c7dad85f23f2f31659060b4da9f4f8cbcd5
GHA_068,Botwe,599.5,0.0,15.0,39.97,2.31,92.32,0.1,101.56,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,3835c45f446f7e62f549a8d658b77c7dad85f23f2f31659060b4da9f4f8cbcd5,517bebcd863da8373b0ef1f59c75d80e6478b5f323b0ebd95c55d7a2e4dadcec
GHA_069,Accra,449.5,0.0,15.0,29.97,2.31,69.22,0.1,76.15,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,517bebcd863da8373b0ef1f59c75d80e6478b5f323b0ebd95c55d7a2e4dadcec,71a222c332b4f93d68b0632264d04902a7aa65c11564afa7c5cd762a7478d39c
GHA_070,Botwe Highways Accra,349.5,0.0,15.0,23.3,2.31,53.82,0.0,53.82,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,71a222c332b4f93d68b0632264d04902a7aa65c11564afa7c5cd762a7478d39c,f214c5e9cd3ac19af40b1a646ca72d744ebb1546715bd2f1a5c35b8ae00b8640
GHA_071,Ashaleybotwe and Madina,249.5,0.0,15.0,16.63,2.31,38.42,0.15,44.19,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,f214c5e9cd3ac19af40b1a646ca72d744ebb1546715bd2f1a5c35b8ae00b8640,b93d9832872ba16fa9d200edd04ef36d9a97be0ad3821e5761f0b03669062aa0
GHA_072,Tema official town,599.5,0.0,15.0,39.97,2.31,92.32,0.0,92.32,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,b93d9832872ba16fa9d200edd04ef36d9a97be0ad3821e5761f0b03669062aa0,b833cfff24e1afb29c80b2c28d03c5f9df3e9af21669c9ca849892568841e961
GHA_073,Greater accra ghana,249.5,0.0,15.0,16.63,2.31,38.42,0.15,44.19,OK,,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,b833cfff24e1afb29c80b2c28d03c5f9df3e9af21669c9ca849892568841e961,cc731adc15bef40187c6168220f3423f9d6f550551e14a616cc1b56c4de6ec58
GHA_074,Accra,249.5,0.0,15.0,16.63,2.31,38.42,0.25,48.03,REVIEW,HIGH_BEHAVIOUR_INTENSITY,GCaI_v0.1,1c0fc702e53acef1e34de8793f301da8f46a395d603758418100b081a9342efb,cc731adc15bef40187c6168220f3423f9d6f550551e14a616cc1b56c4de6ec58,2949978b6ad915c56ddeaeefd9195b9cc8d409fb0c87c7f753706465d5975480
